epoch,accuracy,loss
0,0.9841269850730896,0.019039161503314972
1,0.998759925365448,0.003321771277114749
2,0.9995039701461792,0.0020336562301963568
3,0.9992559552192688,0.0018906018231064081
4,1.0,0.0011040414683520794
5,1.0,0.0005618780269287527
6,0.9997519850730896,0.0004319208092056215
7,1.0,0.0003399571287445724
8,1.0,0.00016049406258389354
9,1.0,0.00010119323997059837
10,1.0,7.89490804891102e-05
11,1.0,4.877890387433581e-05
12,1.0,1.5271582014975138e-05
13,1.0,9.985345241148025e-05
14,1.0,7.339795047300868e-06
15,1.0,7.1605941229790915e-06
16,1.0,2.000565700654988e-06
17,1.0,3.0246337701100856e-07
18,1.0,5.133379499255852e-09
19,1.0,3.371259715834185e-09
20,1.0,2.0671546963058063e-07
21,1.0,2.8171778012620052e-06
22,1.0,9.252132713299943e-07
23,1.0,2.725826497851358e-08
24,1.0,0.0
25,1.0,0.0
26,1.0,0.0
27,1.0,0.0
28,1.0,0.0
29,1.0,0.0
30,1.0,0.0
31,1.0,0.0
32,1.0,0.0
33,1.0,0.0
34,1.0,0.0
35,1.0,0.0
36,1.0,0.0
37,1.0,0.0
38,1.0,0.0
39,1.0,0.0
