epoch,accuracy,loss
0,0.9630456566810608,0.03522929176688194
1,0.9821428656578064,0.016235623508691788
2,0.9878472089767456,0.010508612729609013
3,0.9947916865348816,0.006948420312255621
4,0.9970238208770752,0.004228456877171993
5,0.9980158805847168,0.003107663244009018
6,0.9997519850730896,0.0019871501717716455
7,0.9992559552192688,0.0016671846387907863
8,0.9997519850730896,0.0008102122228592634
9,1.0,0.0006651274161413312
10,1.0,0.00037502223858609796
11,1.0,0.00029141042614355683
12,1.0,0.00016663975839037448
13,1.0,0.00027873614453710616
14,1.0,6.743979611201212e-05
15,1.0,9.367366146761924e-05
16,1.0,6.461692100856453e-05
17,1.0,0.00011620620352914557
18,1.0,4.632659693015739e-05
19,1.0,1.7220803783857264e-05
20,1.0,8.08725872047944e-06
21,1.0,1.1232092219870538e-05
22,1.0,1.0610453500703443e-05
23,1.0,7.446892595908139e-07
24,1.0,7.362857545878398e-10
25,1.0,0.0
26,1.0,0.0
27,1.0,0.0
28,1.0,0.0
29,1.0,0.0
30,1.0,0.0
31,1.0,0.0
32,1.0,0.0
33,1.0,0.0
34,1.0,0.0
35,1.0,0.0
36,1.0,0.0
37,1.0,0.0
38,1.0,0.0
39,1.0,0.0
