epoch,accuracy,loss
0,0.9888392686843872,0.01290288008749485
1,0.9992559552192688,0.0022078747861087322
2,0.9997519850730896,0.0008002154063433409
3,0.9992559552192688,0.0006919524748809636
4,0.9997519850730896,0.0005563913146033883
5,1.0,0.00021908350754529238
6,1.0,0.00036938017001375556
7,1.0,5.176818376639858e-05
8,1.0,8.170206456270535e-06
9,1.0,2.3766220692778006e-05
10,1.0,2.3558329758088803e-06
11,1.0,6.516627308883471e-06
12,1.0,7.386104698525742e-05
13,1.0,2.7087180569651537e-06
14,1.0,1.1102551980002318e-05
15,1.0,3.434746076891315e-06
16,1.0,9.270687684193035e-08
17,1.0,1.468247834424119e-08
18,1.0,0.0
19,1.0,0.0
20,1.0,0.0
21,1.0,0.0
22,1.0,0.0
23,1.0,0.0
24,1.0,0.0
25,1.0,0.0
26,1.0,0.0
27,1.0,0.0
28,1.0,0.0
29,1.0,0.0
30,1.0,0.0
31,1.0,0.0
32,1.0,0.0
33,1.0,0.0
34,1.0,0.0
35,1.0,0.0
36,1.0,0.0
37,1.0,0.0
38,1.0,0.0
39,1.0,0.0
