epoch,accuracy,loss
0,0.9523809552192688,0.04486754164099693
1,0.9900793433189392,0.013736211694777012
2,0.9945436716079712,0.00832394789904356
3,0.9965277910232544,0.005663036834448576
4,0.9990079402923584,0.003289448097348213
5,0.9997519850730896,0.001663039904087782
6,0.9997519850730896,0.0013666775776073337
7,0.9997519850730896,0.0011618032585829496
8,1.0,0.0005153488600626588
9,1.0,0.0001864434889284894
10,1.0,0.00013345903425943106
11,1.0,0.00024262205988634378
12,1.0,0.00013254822988528758
13,1.0,0.00017515983199700713
14,1.0,4.48035316367168e-05
15,1.0,2.1955282136332244e-05
16,1.0,5.149088337930152e-06
17,1.0,2.5818766516749747e-05
18,1.0,1.2516018614405766e-05
19,1.0,9.936102287610993e-07
20,1.0,9.298784675593197e-07
21,1.0,1.6966347402558313e-06
22,1.0,1.9905121462215902e-06
23,1.0,1.0059992661126671e-07
24,1.0,4.246260800755408e-07
25,1.0,3.1240321618497546e-07
26,1.0,4.0322085226307536e-08
27,1.0,0.0
28,1.0,0.0
29,1.0,0.0
30,1.0,0.0
31,1.0,0.0
32,1.0,0.0
33,1.0,0.0
34,1.0,0.0
35,1.0,0.0
36,1.0,0.0
37,1.0,0.0
38,1.0,0.0
39,1.0,0.0
