epoch,accuracy,loss
0,0.9533730149269104,0.04354444518685341
1,0.9866071343421936,0.015656273812055588
2,0.9942956566810608,0.009145720861852169
3,0.9972718358039856,0.004189616069197655
4,0.9985119104385376,0.0035434020683169365
5,0.998759925365448,0.0018804619321599603
6,0.9995039701461792,0.0016929559642449021
7,1.0,0.0005088708130642772
8,0.9997519850730896,0.0010351120727136731
9,1.0,0.00034558362676762044
10,1.0,0.00023147293541114777
11,1.0,9.58987366175279e-05
12,1.0,6.81719757267274e-05
13,1.0,0.0001323880278505385
14,1.0,5.916199370403774e-05
15,1.0,2.771119943645317e-05
16,1.0,4.889178308076225e-05
17,1.0,2.2501251805806533e-05
18,1.0,4.976363015884999e-06
19,1.0,5.851691184943775e-06
20,1.0,1.2450751455617137e-05
21,1.0,1.00246479632915e-05
22,1.0,1.1304247209409368e-06
23,1.0,2.973576158638025e-07
24,1.0,9.506538845016621e-08
25,1.0,6.298846333407937e-09
26,1.0,0.0
27,1.0,0.0
28,1.0,0.0
29,1.0,0.0
30,1.0,0.0
31,1.0,0.0
32,1.0,0.0
33,1.0,0.0
34,1.0,0.0
35,1.0,0.0
36,1.0,0.0
37,1.0,0.0
38,1.0,0.0
39,1.0,0.0
