epoch,accuracy,loss
0,0.9694940447807312,0.03333570808172226
1,0.9960317611694336,0.006099872291088104
2,0.9982638955116272,0.0033606737852096558
3,0.9990079402923584,0.002163104247301817
4,0.9992559552192688,0.0017914690542966127
5,0.9997519850730896,0.0012590258847922087
6,1.0,0.0008368887356482446
7,0.9995039701461792,0.0004780211311299354
8,0.9997519850730896,0.0003130665572825819
9,1.0,0.00033030769554898143
10,0.9997519850730896,0.00017972917703446
11,1.0,0.00014023820403963327
12,1.0,0.0001384405477438122
13,1.0,9.626904648030177e-05
14,1.0,5.0221839046571404e-05
15,1.0,1.416225768480217e-05
16,1.0,3.6047727917321026e-05
17,1.0,1.7758642570697702e-05
18,1.0,1.4173113413562533e-05
19,1.0,1.1379328412886025e-07
20,1.0,1.6955310400135204e-07
21,1.0,2.5147977034123414e-09
22,1.0,6.154272796266014e-06
23,1.0,1.0666623211363913e-06
24,1.0,1.662986477413142e-07
25,1.0,2.6371777650524564e-08
26,1.0,6.35589983422058e-11
27,1.0,0.0
28,1.0,0.0
29,1.0,0.0
30,1.0,0.0
31,1.0,0.0
32,1.0,0.0
33,1.0,0.0
34,1.0,0.0
35,1.0,0.0
36,1.0,0.0
37,1.0,0.0
38,1.0,0.0
39,1.0,0.0
