epoch,accuracy,loss
0,0.9598214030265808,0.038278382271528244
1,0.984375,0.015005500055849552
2,0.9908233880996704,0.009390177205204964
3,0.9947916865348816,0.006893915589898825
4,0.9960317611694336,0.004406635649502277
5,0.9992559552192688,0.00255142361856997
6,0.9995039701461792,0.0015991295222193003
7,0.9997519850730896,0.001069153775461018
8,0.9990079402923584,0.0011242021573707461
9,1.0,0.000448075239546597
10,1.0,0.0002806742850225419
11,1.0,0.0002351361617911607
12,1.0,0.00028806395130231977
13,1.0,0.00013298967678565532
14,1.0,6.276969361351803e-05
15,1.0,9.159176261164248e-05
16,1.0,3.684497278300114e-05
17,1.0,2.0144017980783246e-05
18,1.0,6.436349622163107e-07
19,1.0,3.107682005065726e-07
20,1.0,1.8385266230325215e-05
21,1.0,1.343539133813465e-05
22,1.0,2.200325070589315e-06
23,1.0,4.690783043770352e-06
24,1.0,2.3242266252054833e-05
25,1.0,4.93604886742105e-07
26,1.0,2.949201993729389e-10
27,1.0,0.0
28,1.0,0.0
29,1.0,0.0
30,1.0,0.0
31,1.0,0.0
32,1.0,0.0
33,1.0,0.0
34,1.0,0.0
35,1.0,0.0
36,1.0,0.0
37,1.0,0.0
38,1.0,0.0
39,1.0,0.0
