epoch,accuracy,loss
0,0.9474206566810608,0.04956895112991333
1,0.9895833134651184,0.015040865167975426
2,0.991815447807312,0.009226474910974503
3,0.9955357313156128,0.006531061604619026
4,0.9977678656578064,0.0038123377598822117
5,0.998759925365448,0.002401454607024789
6,0.9997519850730896,0.0011425053235143423
7,0.9995039701461792,0.0010656923986971378
8,0.9992559552192688,0.0013736305991187692
9,0.9997519850730896,0.0005491536576300859
10,0.9997519850730896,0.0003874458489008248
11,1.0,0.00017969321925193071
12,1.0,9.443059389013797e-05
13,1.0,7.925460522528738e-05
14,0.9997519850730896,0.00016242926358245313
15,1.0,8.390808216063306e-05
16,1.0,2.619622136990074e-05
17,1.0,1.542578320368193e-05
18,1.0,4.504169191932306e-05
19,1.0,1.2963079825567547e-05
20,1.0,3.5095818020636216e-06
21,1.0,8.970617670911452e-08
22,1.0,2.405071419797622e-10
23,1.0,0.0
24,1.0,0.0
25,1.0,0.0
26,1.0,0.0
27,1.0,0.0
28,1.0,0.0
29,1.0,0.0
30,1.0,0.0
31,1.0,0.0
32,1.0,0.0
33,1.0,0.0
34,1.0,0.0
35,1.0,0.0
36,1.0,0.0
37,1.0,0.0
38,1.0,0.0
39,1.0,0.0
