epoch,accuracy,loss
0,0.9397321343421936,0.05418214574456215
1,0.9910714030265808,0.011771967634558678
2,0.995039701461792,0.007437268737703562
3,0.9970238208770752,0.005090669728815556
4,0.9965277910232544,0.004734694492071867
5,0.9982638955116272,0.002706383354961872
6,0.9997519850730896,0.0013434395659714937
7,0.9995039701461792,0.0010085065150633454
8,0.9992559552192688,0.001030399464070797
9,0.9997519850730896,0.0007744202157482505
10,1.0,0.00014724662469234318
11,1.0,9.914485417539254e-05
12,1.0,0.00022641103714704514
13,1.0,9.701827366370708e-05
14,1.0,0.00011203410394955426
15,1.0,9.98422474367544e-05
16,1.0,4.219719994580373e-05
17,1.0,1.621815681573935e-05
18,1.0,3.220321741537191e-05
19,1.0,5.813923507957952e-06
20,1.0,1.0814453617058462e-06
21,1.0,4.114342573302565e-06
22,1.0,2.285482878505718e-06
23,1.0,1.5104049566616595e-07
24,1.0,4.986666635176107e-09
25,1.0,5.101550755171047e-07
26,1.0,1.8536277366365539e-06
27,1.0,5.938156846241327e-07
28,1.0,7.933816270622174e-09
29,1.0,4.236016692971134e-08
30,1.0,4.4017395284257077e-10
31,1.0,0.0
32,1.0,0.0
33,1.0,0.0
34,1.0,0.0
35,1.0,0.0
36,1.0,0.0
37,1.0,0.0
38,1.0,0.0
39,1.0,0.0
