epoch,accuracy,loss
0,0.9821428656578064,0.02096518501639366
1,0.9970238208770752,0.00458882562816143
2,0.9982638955116272,0.0035009977873414755
3,0.9995039701461792,0.0016254683723673224
4,1.0,0.0010958424536511302
5,0.9997519850730896,0.0008584117167629302
6,1.0,0.0003635559987742454
7,1.0,0.00020965062140021473
8,1.0,0.00032550099422223866
9,1.0,6.488963845185935e-05
10,1.0,0.00017239911539945751
11,1.0,3.2032901799539104e-05
12,1.0,2.448689701850526e-05
13,1.0,6.0892660258105025e-05
14,1.0,5.367854555515805e-06
15,1.0,1.7883011196317966e-06
16,1.0,1.972725613086368e-06
17,1.0,2.3407501430483535e-06
18,1.0,6.929341225259122e-07
19,1.0,6.212127340310403e-11
20,1.0,0.0
21,1.0,0.0
22,1.0,0.0
23,1.0,0.0
24,1.0,0.0
25,1.0,0.0
26,1.0,0.0
27,1.0,0.0
28,1.0,0.0
29,1.0,0.0
30,1.0,0.0
31,1.0,0.0
32,1.0,0.0
33,1.0,0.0
34,1.0,0.0
35,1.0,0.0
36,1.0,0.0
37,1.0,0.0
38,1.0,0.0
39,1.0,0.0
