epoch,accuracy,loss
0,0.9548611044883728,0.04187300056219101
1,0.980654776096344,0.019233927130699158
2,0.9863591194152832,0.013832911849021912
3,0.9928075671195984,0.00820779986679554
4,0.995039701461792,0.005568148102611303
5,0.9980158805847168,0.004240153357386589
6,0.9990079402923584,0.002808066550642252
7,0.9990079402923584,0.002030343981459737
8,0.9997519850730896,0.0010658788960427046
9,1.0,0.0007472747238352895
10,1.0,0.0006011310615576804
11,1.0,0.0005488425958901644
12,1.0,0.0002951781207229942
13,1.0,0.00018101546447724104
14,1.0,0.00017545089940540493
15,1.0,0.00029796859598718584
16,1.0,0.0001343418553005904
17,1.0,3.112087506451644e-05
18,1.0,5.376714398153126e-05
19,1.0,3.311645923531614e-05
20,1.0,8.370071554963943e-06
21,1.0,1.1551262105058413e-05
22,1.0,5.695191703125602e-06
23,1.0,7.222235581139103e-06
24,1.0,6.5150488808285445e-06
25,1.0,1.8374536239207373e-06
26,1.0,9.286862336921331e-07
27,1.0,1.3371605973588885e-06
28,1.0,1.4064011111258878e-06
29,1.0,3.203137168839021e-07
30,1.0,4.1075395529333036e-07
31,1.0,9.930271716029893e-08
32,1.0,4.9581242222984656e-08
33,1.0,9.36368635962026e-08
34,1.0,6.9928285384435185e-09
35,1.0,7.008129188079693e-08
36,1.0,1.1173361258443038e-07
37,1.0,1.459581611129579e-08
38,1.0,4.183638435684145e-10
39,1.0,1.2305120464239927e-11
