epoch,accuracy,loss
0,0.9657738208770752,0.03532000258564949
1,0.9910714030265808,0.011855199001729488
2,0.9947916865348816,0.00876525230705738
3,0.9980158805847168,0.003820853540673852
4,0.9985119104385376,0.0028695722576230764
5,0.9990079402923584,0.0020947426091879606
6,0.9992559552192688,0.0014553592773154378
7,0.9992559552192688,0.0011493498459458351
8,0.9997519850730896,0.000532205740455538
9,0.9997519850730896,0.0002699744945857674
10,0.9997519850730896,0.00021253287559375167
11,1.0,0.00019035773584619164
12,1.0,0.00013606989523395896
13,1.0,6.64785984554328e-05
14,1.0,4.0640261431690305e-05
15,1.0,3.437859413679689e-05
16,1.0,3.328993625473231e-05
17,1.0,1.4630398254666943e-05
18,1.0,6.011605819367105e-06
19,1.0,7.283435479621403e-06
20,1.0,4.9844124987430405e-06
21,1.0,1.288263410970103e-05
22,1.0,2.9379323223110987e-06
23,1.0,7.161872304095596e-07
24,1.0,2.095717199779301e-08
25,1.0,0.0
26,1.0,0.0
27,1.0,0.0
28,1.0,0.0
29,1.0,0.0
30,1.0,0.0
31,1.0,0.0
32,1.0,0.0
33,1.0,0.0
34,1.0,0.0
35,1.0,0.0
36,1.0,0.0
37,1.0,0.0
38,1.0,0.0
39,1.0,0.0
